Date,Open,High,Low,Close,Adj Close,Volume
1984-09-28,8.21875,8.28125,8.125,8.1875,3.943742036819458,85200
1984-10-01,8.15625,8.28125,8.15625,8.1875,3.943742036819458,608800
1984-10-02,8.1875,8.21875,8.15625,8.15625,3.92868971824646,93200
1984-10-03,8.125,8.15625,7.90625,8.03125,3.8684816360473633,594800
1984-10-04,8.09375,8.125,8.0,8.0625,3.883533000946045,99600
1984-10-05,8.03125,8.09375,8.0,8.03125,3.8684816360473633,68000
1984-10-08,8.0,8.03125,7.875,7.9375,3.823323965072632,31200
1984-10-09,7.9375,7.96875,7.84375,7.84375,3.7781643867492676,368800
1984-10-10,7.84375,7.84375,7.6875,7.6875,3.7029037475585938,704800
1984-10-11,7.75,7.84375,7.6875,7.84375,3.7781643867492676,496800
1984-10-12,7.90625,8.25,7.8125,8.21875,3.9587950706481934,103600
1984-10-15,8.15625,8.4375,8.15625,8.25,3.973846912384033,92800
1984-10-16,8.25,8.28125,8.15625,8.15625,3.92868971824646,40000
1984-10-17,8.0625,8.125,8.0625,8.0625,3.883533000946045,64000
1984-10-18,8.125,8.15625,7.90625,8.09375,3.8985865116119385,1345200
1984-10-19,8.125,8.375,8.125,8.28125,4.013696670532227,617200
1984-10-22,8.28125,8.40625,8.25,8.34375,4.043986797332764,244800
1984-10-23,8.34375,8.4375,8.3125,8.40625,4.074279308319092,159200
1984-10-24,8.34375,8.375,8.3125,8.3125,4.028841495513916,71200
1984-10-25,8.34375,8.375,8.28125,8.3125,4.028841495513916,88800
1984-10-26,8.3125,8.375,8.1875,8.21875,3.9834024906158447,338000
1984-10-29,8.1875,8.28125,8.15625,8.15625,3.9531097412109375,68000
1984-10-30,8.21875,8.34375,8.1875,8.34375,4.043986797332764,141200
1984-10-31,8.34375,8.34375,8.28125,8.3125,4.028841495513916,94400
1984-11-01,8.40625,8.625,8.40625,8.625,4.180299758911133,474000
1984-11-02,8.59375,8.8125,8.59375,8.65625,4.195446014404297,816800
1984-11-05,8.71875,8.9375,8.71875,8.90625,4.316615581512451,982400
1984-11-06,8.875,8.90625,8.84375,8.90625,4.316615581512451,192400
1984-11-07,8.9375,8.9375,8.6875,8.71875,4.225739479064941,308000
1984-11-08,8.71875,8.71875,8.59375,8.625,4.180299758911133,220800
1984-11-09,8.65625,8.8125,8.59375,8.65625,4.195446014404297,140400
1984-11-12,8.6875,8.6875,8.5,8.5625,4.150009632110596,131600
1984-11-13,8.5625,8.59375,8.4375,8.4375,4.089426517486572,42800
1984-11-14,8.40625,8.46875,8.3125,8.375,4.059135437011719,103200
1984-11-15,8.40625,8.40625,8.1875,8.25,3.9985475540161133,87200
1984-11-16,8.25,8.4375,8.125,8.125,3.9379642009735107,976000
1984-11-19,8.25,8.25,7.875,7.875,3.8167972564697266,240800
1984-11-20,7.96875,8.09375,7.96875,8.0625,3.907672882080078,173600
1984-11-21,8.0,8.25,8.0,8.25,3.9985475540161133,452400
1984-11-23,8.25,8.3125,8.21875,8.25,3.9985475540161133,105200
1984-11-26,8.25,8.28125,8.1875,8.28125,4.013696670532227,210800
1984-11-27,8.25,8.3125,8.25,8.25,3.9985475540161133,53600
1984-11-28,8.25,8.25,8.0,8.03125,3.8925280570983887,516400
1984-11-29,8.0,8.0,7.84375,7.875,3.8167972564697266,64000
1984-11-30,7.875,7.9375,7.78125,7.84375,3.8016510009765625,525200
1984-12-03,7.90625,8.03125,7.875,8.03125,3.8925280570983887,223600
1984-12-04,8.09375,8.125,7.65625,7.75,3.7562122344970703,528400
1984-12-05,7.6875,7.6875,7.375,7.4375,3.6047515869140625,837600
1984-12-06,7.4375,7.4375,7.0625,7.34375,3.5593152046203613,1047600
1984-12-07,7.34375,7.4375,7.3125,7.40625,3.5896084308624268,188800
