Date,Open,High,Low,Close,Adj Close,Volume
1984-11-01,0.0,7.140625,7.09375,7.140625,3.7738091945648193,321600
1984-11-02,0.0,7.140625,7.09375,7.125,3.765549659729004,42400
1984-11-05,0.0,7.125,7.078125,7.125,3.765549659729004,27200
1984-11-06,0.0,7.125,7.09375,7.125,3.765549659729004,88800
1984-11-07,0.0,7.125,7.078125,7.125,3.765549659729004,92000
1984-11-08,0.0,7.125,7.09375,7.09375,3.7490336894989014,48000
1984-11-09,0.0,7.140625,7.09375,7.09375,3.7490336894989014,123200
1984-11-12,0.0,7.109375,7.078125,7.078125,3.7407758235931396,35200
1984-11-13,0.0,7.09375,7.046875,7.078125,3.7407758235931396,20800
1984-11-14,0.0,7.125,7.09375,7.09375,3.7490336894989014,88800
1984-11-15,0.0,7.109375,7.078125,7.109375,3.7572927474975586,37600
1984-11-16,0.0,7.109375,7.078125,7.109375,3.7572927474975586,28000
1984-11-19,0.0,7.125,7.109375,7.125,3.765549659729004,103200
1984-11-20,0.0,7.125,7.078125,7.078125,3.7407758235931396,27200
1984-11-21,0.0,7.109375,7.0625,7.109375,3.7572927474975586,116800
1984-11-23,0.0,7.203125,7.125,7.15625,3.7820663452148438,142400
1984-11-26,0.0,7.171875,7.09375,7.109375,3.7572927474975586,160000
1984-11-27,0.0,7.125,7.078125,7.109375,3.7572927474975586,130400
1984-11-28,0.0,7.109375,7.0625,7.078125,3.7407758235931396,65600
1984-11-29,0.0,7.125,7.078125,7.109375,3.7572927474975586,83200
1984-11-30,0.0,7.125,7.046875,7.109375,3.7572927474975586,58400
1984-12-03,0.0,7.078125,6.96875,6.96875,3.6829726696014404,84800
1984-12-04,0.0,6.96875,6.9375,6.9375,3.666456937789917,143200
1984-12-05,0.0,6.9375,6.875,6.875,3.6334261894226074,48000
1984-12-06,0.0,6.921875,6.8125,6.8125,3.600395441055298,105600
1984-12-07,0.0,6.875,6.828125,6.875,3.6334261894226074,44000
1984-12-10,0.0,6.859375,6.71875,6.765625,3.5756211280822754,87200
1984-12-11,0.0,6.859375,6.796875,6.859375,3.625166654586792,189600
1984-12-12,0.0,6.90625,6.859375,6.90625,3.6499416828155518,712800
1984-12-13,0.0,6.90625,6.875,6.875,3.6334261894226074,370400
1984-12-14,0.0,7.015625,6.84375,7.015625,3.7077460289001465,58400
1984-12-17,7.046875,7.046875,7.0,7.03125,3.716003894805908,183200
1984-12-18,7.0625,7.25,7.0625,7.203125,3.806837320327759,603200
1984-12-19,7.21875,7.234375,7.203125,7.234375,3.823357343673706,440000
1984-12-20,7.21875,7.21875,7.1875,7.21875,3.815096855163574,381600
1984-12-21,7.1875,7.1875,7.109375,7.109375,3.7572927474975586,219200
1984-12-24,7.140625,7.15625,7.125,7.140625,3.7738091945648193,24000
1984-12-26,7.171875,7.1875,7.15625,7.1875,3.798582077026367,18400
1984-12-27,7.171875,7.171875,7.125,7.140625,3.7738091945648193,23200
1984-12-28,7.125,7.125,7.0625,7.0625,3.732517719268799,40800
1984-12-31,7.09375,7.171875,7.078125,7.171875,3.790325164794922,62400
1985-01-02,7.15625,7.203125,7.125,7.203125,3.806837320327759,27200
1985-01-03,7.1875,7.1875,7.0625,7.09375,3.7490336894989014,109600
1985-01-04,7.0625,7.0625,7.03125,7.03125,3.716003894805908,12800
1985-01-07,7.03125,7.03125,6.90625,6.9375,3.666456937789917,116000
1985-01-08,6.9375,6.9375,6.890625,6.90625,3.6499416828155518,363200
1985-01-09,6.859375,6.96875,6.859375,6.96875,3.6829726696014404,825600
1985-01-10,7.0625,7.34375,7.0625,7.34375,3.881160020828247,1064800
1985-01-11,7.34375,7.375,7.25,7.28125,3.848127603530884,511200
1985-01-14,7.34375,7.5,7.328125,7.46875,3.9472217559814453,133600
1985-01-15,7.46875,7.65625,7.46875,7.625,4.029801368713379,656000
1985-01-16,7.625,7.84375,7.625,7.8125,4.128894805908203,292000
1985-01-17,7.8125,7.8125,7.734375,7.734375,4.08760404586792,64800
1985-01-18,7.75,7.875,7.75,7.875,4.161924839019775,118400
1985-01-21,7.859375,8.25,7.859375,8.15625,4.310565948486328,619200
1985-01-22,8.1875,8.34375,8.125,8.125,4.294049263000488,400800
1985-01-23,8.09375,8.109375,7.96875,8.0625,4.261017322540283,129600
1985-01-24,8.125,8.234375,8.125,8.21875,4.343595027923584,136800
1985-01-25,8.1875,8.21875,8.171875,8.203125,4.335337162017822,104000
1985-01-28,8.21875,8.21875,8.15625,8.15625,4.310565948486328,58400
1985-01-29,8.1875,8.234375,8.15625,8.234375,4.351851940155029,157600
1985-01-30,8.40625,8.5,8.375,8.5,4.4922356605529785,316000
1985-01-31,8.5,8.5,8.4375,8.4375,4.459205627441406,119200
1985-02-01,8.4375,8.4375,8.28125,8.28125,4.376626491546631,184800
1985-02-04,8.25,8.328125,8.25,8.28125,4.376626491546631,52800
1985-02-05,8.28125,8.375,8.28125,8.375,4.446984767913818,100800
1985-02-06,8.359375,8.4375,8.359375,8.40625,4.463576316833496,289600
1985-02-07,8.40625,8.46875,8.40625,8.46875,4.496763706207275,128000
1985-02-08,8.46875,8.546875,8.46875,8.546875,4.5382466316223145,44000
1985-02-11,8.5625,8.609375,8.5625,8.609375,4.57143497467041,143200
1985-02-12,8.578125,8.59375,8.53125,8.53125,4.529948711395264,240800
1985-02-13,8.5625,8.625,8.53125,8.59375,4.563136100769043,255200
1985-02-14,8.625,8.625,8.5625,8.5625,4.546541690826416,107200
1985-02-15,8.5625,8.5625,8.375,8.375,4.446984767913818,160000
1985-02-19,8.25,8.25,8.15625,8.15625,4.330829620361328,121600
1985-02-20,8.15625,8.203125,8.15625,8.171875,4.339125633239746,154400
1985-02-21,8.171875,8.1875,8.15625,8.15625,4.330829620361328,35200
1985-02-22,8.1875,8.1875,8.15625,8.15625,4.330829620361328,19200
1985-02-25,8.15625,8.1875,8.125,8.1875,4.3474249839782715,52800
1985-02-26,8.1875,8.40625,8.1875,8.359375,4.438685417175293,140000
1985-02-27,8.34375,8.359375,8.296875,8.296875,4.405498027801514,116000
1985-02-28,8.265625,8.328125,8.265625,8.3125,4.413794994354248,83200
1985-03-01,8.28125,8.375,8.28125,8.328125,4.422092437744141,156800
1985-03-04,8.3125,8.3125,8.09375,8.1875,4.3474249839782715,152000
1985-03-05,8.1875,8.1875,8.109375,8.109375,4.305940628051758,212800
1985-03-06,8.109375,8.109375,8.03125,8.046875,4.272754192352295,20000
1985-03-07,8.03125,8.03125,7.9375,7.96875,4.231268882751465,72000
1985-03-08,7.90625,7.90625,7.84375,7.875,4.181490421295166,99200
1985-03-11,7.875,7.875,7.71875,7.71875,4.098525524139404,56800
1985-03-12,7.71875,7.71875,7.671875,7.6875,4.081931114196777,117600
1985-03-13,7.703125,7.703125,7.640625,7.640625,4.057041168212891,97600
1985-03-14,7.671875,7.8125,7.671875,7.78125,4.131709098815918,45600
