Date,Open,High,Low,Close,Adj Close,Volume
1996-12-11,5.25,5.75,5.0,5.125,1.5277053117752075,483800
1996-12-12,5.125,5.125,5.0,5.0,1.490444302558899,138300
1996-12-13,5.125,5.125,5.0,5.0,1.490444302558899,60900
1996-12-16,5.0,5.125,5.0,5.0,1.490444302558899,56700
1996-12-17,5.0,5.125,5.0,5.0,1.490444302558899,51100
1996-12-18,5.0,5.0,5.0,5.0,1.490444302558899,21900
1996-12-19,5.125,5.125,5.0,5.0,1.490444302558899,61800
1996-12-20,5.125,5.125,5.0,5.0,1.490444302558899,61500
1996-12-23,5.0,5.0625,5.0,5.0,1.490444302558899,49000
1996-12-24,5.0,5.0,5.0,5.0,1.490444302558899,800
1996-12-26,5.0,5.0,5.0,5.0,1.490444302558899,500
1996-12-27,5.0,5.125,5.0,5.0,1.490444302558899,13200
1996-12-30,5.0,5.0,5.0,5.0,1.490444302558899,11400
1996-12-31,5.0,5.0,5.0,5.0,1.490444302558899,13500
1997-01-02,5.0,5.0625,5.0,5.0,1.490444302558899,15200
1997-01-03,5.0,5.125,5.0,5.0,1.490444302558899,25900
1997-01-06,5.0,5.0,5.0,5.0,1.490444302558899,40900
1997-01-07,5.125,5.125,5.0,5.0,1.490444302558899,42000
1997-01-08,5.0,5.0,5.0,5.0,1.490444302558899,68500
1997-01-09,5.0,5.0,5.0,5.0,1.490444302558899,22000
1997-01-10,5.0,5.0,5.0,5.0,1.490444302558899,15200
1997-01-13,5.0,5.125,5.0,5.0,1.490444302558899,10500
1997-01-14,5.0,5.0,5.0,5.0,1.490444302558899,58300
1997-01-15,5.0,5.125,5.0,5.125,1.5277053117752075,108000
1997-01-16,5.0,5.0625,5.0,5.0,1.490444302558899,84500
1997-01-17,5.125,5.125,5.0,5.0,1.490444302558899,25800
1997-01-20,5.0,5.0,5.0,5.0,1.490444302558899,8000
1997-01-21,5.0,5.125,5.0,5.0,1.490444302558899,38500
1997-01-22,5.0,5.0,5.0,5.0,1.490444302558899,16700
1997-01-23,5.125,5.125,5.0,5.0,1.490444302558899,13000
1997-01-24,5.125,5.125,5.0,5.0625,1.5090748071670532,24300
1997-01-27,5.125,5.125,5.0,5.0,1.490444302558899,17200
1997-01-28,5.0,5.0,5.0,5.0,1.490444302558899,23200
1997-01-29,5.0,5.125,5.0,5.0,1.490444302558899,22000
1997-01-30,5.0,5.0,4.625,4.625,1.3786609172821045,16900
1997-01-31,4.625,4.625,4.0,4.0,1.1923555135726929,23600
1997-02-03,4.0,4.25,4.0,4.0,1.1923555135726929,25500
1997-02-04,4.0,4.0,4.0,4.0,1.1923555135726929,21500
1997-02-05,4.0,4.0,4.0,4.0,1.1923555135726929,16000
1997-02-06,4.0,4.125,4.0,4.125,1.2296167612075806,19900
1997-02-07,4.125,5.125,4.125,5.0,1.490444302558899,195300
1997-02-10,5.0,6.125,5.0,5.25,1.5649665594100952,120900
1997-02-11,6.0,6.0,5.25,5.25,1.5649665594100952,16200
1997-02-12,5.25,5.25,5.125,5.125,1.5277053117752075,50000
1997-02-13,5.125,5.625,5.0,5.0,1.490444302558899,44500
1997-02-14,5.0,5.875,5.0,5.0,1.490444302558899,39000
1997-02-18,5.0,5.875,5.0,5.125,1.5277053117752075,26500
1997-02-19,5.125,6.5,5.125,5.75,1.7140110731124878,207600
