Date,Open,High,Low,Close,Adj Close,Volume
1993-02-26,9.0,11.0,9.0,10.375,5.535029888153076,797100
1993-03-01,11.25,12.0,10.5,10.5,5.601717472076416,378200
1993-03-02,11.25,11.25,10.25,10.75,5.735090732574463,84400
1993-03-03,10.875,10.875,10.25,10.375,5.535029888153076,18200
1993-03-04,10.875,11.0,10.375,10.75,5.735090732574463,122300
1993-03-05,11.0,11.0,10.5,10.5,5.601717472076416,95000
1993-03-08,11.0,11.0,10.5,10.5,5.601717472076416,54600
1993-03-09,10.5,11.0,10.0,10.0,5.334967613220215,86100
1993-03-10,10.0,10.75,10.0,10.0,5.334967613220215,29300
1993-03-11,10.5,10.5,10.0,10.5,5.601717472076416,14400
1993-03-12,10.0,10.5,10.0,10.125,5.4016547203063965,10500
1993-03-15,10.5,10.5,10.0,10.0,5.334967613220215,14500
1993-03-16,10.5,10.5,10.0,10.125,5.4016547203063965,38900
1993-03-17,10.5,10.5,10.0,10.0,5.334967613220215,75500
1993-03-18,10.5,10.5,10.0,10.25,5.468341827392578,26400
1993-03-19,10.125,10.5,10.0,10.25,5.468341827392578,46200
1993-03-22,10.5,10.75,10.0,10.25,5.468341827392578,23200
1993-03-23,10.25,10.75,10.25,10.375,5.535029888153076,30200
1993-03-24,10.75,10.75,10.25,10.25,5.468341827392578,49400
1993-03-25,10.25,10.75,10.25,10.25,5.468341827392578,52200
1993-03-26,10.25,10.5,10.0,10.25,5.468341827392578,9100
1993-03-29,10.5,10.5,10.0,10.0,5.334967613220215,15800
1993-03-30,10.5,10.5,10.0,10.5,5.601717472076416,9600
1993-03-31,10.5,10.5,10.0,10.0,5.334967613220215,11000
1993-04-01,10.5,10.5,10.0,10.25,5.468341827392578,18300
1993-04-02,10.125,10.5,9.75,10.25,5.468341827392578,26300
1993-04-05,9.75,10.5,9.75,10.25,5.468341827392578,1100
1993-04-06,9.75,10.25,9.5,9.625,5.134908199310303,28000
1993-04-07,9.625,9.75,9.25,9.375,5.001533031463623,39800
1993-04-08,9.25,9.75,9.0,9.0,4.801471710205078,36600
1993-04-12,9.75,9.75,9.0,9.5,5.0682196617126465,28800
1993-04-13,9.5,9.5,9.0,9.5,5.0682196617126465,5800
1993-04-14,9.0,9.5,9.0,9.0,4.801471710205078,9900
1993-04-15,9.5,9.5,9.0,9.125,4.868159770965576,25200
1993-04-16,9.0,9.5,9.0,9.0,4.801471710205078,18300
1993-04-19,9.0,9.5,9.0,9.5,5.0682196617126465,15700
1993-04-20,9.5,9.5,9.0,9.375,5.001533031463623,30400
1993-04-21,9.0,9.5,9.0,9.0,4.801471710205078,5500
1993-04-22,9.5,9.5,9.0,9.125,4.868159770965576,20100
1993-04-23,9.0,9.5,9.0,9.125,4.868159770965576,12800
1993-04-26,9.0,9.5,9.0,9.0,4.801471710205078,6300
1993-04-27,9.0,9.5,9.0,9.375,5.001533031463623,27500
1993-04-28,9.5,9.5,9.0,9.5,5.0682196617126465,3300
1993-04-29,9.0,9.5,9.0,9.25,4.934845924377441,4300
1993-04-30,9.0,9.5,9.0,9.5,5.0682196617126465,1800
1993-05-03,9.0,9.0,9.0,9.0,4.801471710205078,2300
1993-05-04,9.0,9.5,9.0,9.0,4.801471710205078,3700
1993-05-05,9.5,9.5,9.0,9.125,4.868159770965576,8500
1993-05-06,9.5,10.0,9.0,10.0,5.334967613220215,67300
1993-05-07,10.0,10.0,9.5,10.0,5.334967613220215,12800
1993-05-10,10.0,10.25,9.5,10.25,5.468341827392578,53500
1993-05-11,10.25,10.25,9.75,10.25,5.468341827392578,33100
1993-05-12,10.25,10.25,9.75,10.25,5.468341827392578,64800
1993-05-13,10.25,10.25,9.875,9.875,5.268280029296875,9200
1993-05-14,10.25,10.25,9.75,10.0,5.334967613220215,5600
1993-05-17,10.25,10.25,9.75,9.75,5.20159387588501,9500
1993-05-18,9.75,10.25,9.75,9.75,5.20159387588501,5000
1993-05-19,10.25,10.25,9.75,9.75,5.20159387588501,4900
1993-05-20,10.25,10.25,9.75,9.75,5.20159387588501,10400
1993-05-21,10.25,10.25,9.75,9.75,5.20159387588501,8400
1993-05-24,10.25,10.25,9.75,9.875,5.268280029296875,7700
1993-05-25,9.75,10.25,9.75,9.875,5.268280029296875,3700
1993-05-26,9.75,10.0,9.25,9.25,4.934845924377441,29900
1993-05-27,9.5,9.5,9.25,9.25,4.934845924377441,14000
1993-05-28,9.25,9.375,9.25,9.375,5.001533031463623,10500
1993-06-01,9.25,9.75,9.25,9.25,4.934845924377441,42800
1993-06-02,9.25,9.75,9.25,9.25,4.934845924377441,3700
1993-06-03,9.25,9.75,9.25,9.25,4.934845924377441,13800
1993-06-04,9.0,9.5,9.0,9.0,4.801471710205078,14200
1993-06-07,9.0,9.5,9.0,9.0,4.801471710205078,9500
1993-06-08,9.5,9.5,9.0,9.0,4.801471710205078,34800
1993-06-09,9.0,9.5,9.0,9.25,4.934845924377441,12000
1993-06-10,9.5,9.5,9.125,9.5,5.0682196617126465,1400
1993-06-11,9.5,9.5,9.0,9.0,4.801471710205078,18800
1993-06-14,9.5,9.5,9.0,9.25,4.934845924377441,3900
1993-06-15,9.0,9.0,9.0,9.0,4.801471710205078,23200
1993-06-16,9.5,9.5,9.0,9.125,4.868159770965576,19300
1993-06-17,9.0,9.5,9.0,9.5,5.0682196617126465,10600
1993-06-18,9.0,9.5,9.0,9.5,5.0682196617126465,4200
1993-06-21,9.5,9.5,9.0,9.0,4.801471710205078,16100
1993-06-22,9.0,9.125,9.0,9.125,4.868159770965576,13800
1993-06-23,9.0,9.375,9.0,9.0,4.801471710205078,9200
1993-06-24,9.0,9.25,9.0,9.125,4.868159770965576,9100
1993-06-25,9.25,9.25,9.0,9.125,4.868159770965576,5700
1993-06-28,9.0,9.25,9.0,9.25,4.934845924377441,3600
1993-06-29,9.0,9.25,9.0,9.125,4.868159770965576,29400
1993-06-30,9.0,9.0,9.0,9.0,4.801471710205078,1400
1993-07-01,9.25,9.25,9.0,9.0,4.801471710205078,10600
1993-07-02,9.25,9.25,9.0,9.0,4.801471710205078,2000
1993-07-06,9.0,9.125,9.0,9.0,4.801471710205078,27900
1993-07-07,9.0,9.25,9.0,9.25,4.934845924377441,10300
1993-07-08,9.0,9.125,9.0,9.125,4.868159770965576,3700
1993-07-09,9.0,9.25,9.0,9.0,4.801471710205078,1400
1993-07-12,9.25,9.25,9.0,9.125,4.868159770965576,7100
1993-07-13,9.0,9.25,9.0,9.0,4.801471710205078,7400
1993-07-14,9.0,9.25,9.0,9.125,4.868159770965576,7300
1993-07-15,9.0,9.25,9.0,9.0,4.801471710205078,6400
1993-07-16,9.0,9.25,9.0,9.125,4.868159770965576,20000
1993-07-19,9.25,9.25,9.0,9.0,4.801471710205078,12300
1993-07-20,9.0,9.125,9.0,9.0,4.801471710205078,22800
1993-07-21,9.0,9.25,9.0,9.0,4.801471710205078,13800
1993-07-22,9.0,9.125,9.0,9.125,4.868159770965576,31300
1993-07-23,9.0,9.25,9.0,9.125,4.868159770965576,23700
1993-07-26,9.0,9.125,9.0,9.125,4.868159770965576,14200
1993-07-27,9.0,9.125,9.0,9.125,4.868159770965576,36600
1993-07-28,9.0,9.125,9.0,9.125,4.868159770965576,82500
1993-07-29,9.0,9.25,9.0,9.125,4.868159770965576,58300
1993-07-30,9.125,10.25,9.125,10.25,5.468341827392578,134000
1993-08-02,10.25,10.25,10.0,10.25,5.468341827392578,178100
1993-08-03,10.25,10.25,9.75,10.25,5.468341827392578,45000
1993-08-04,10.25,10.25,9.625,10.0,5.334967613220215,70200
1993-08-05,10.0,10.125,9.625,9.75,5.20159387588501,39100
1993-08-06,10.125,10.125,9.75,10.0,5.334967613220215,28600
1993-08-09,10.125,10.25,9.75,10.125,5.4016547203063965,54000
1993-08-10,10.25,10.5,9.75,10.125,5.4016547203063965,108400
1993-08-11,10.5,10.5,10.25,10.375,5.535029888153076,17200
1993-08-12,10.5,10.625,10.0,10.625,5.668403148651123,44800
