Date,Open,High,Low,Close,Adj Close,Volume
1988-04-19,10.0,10.125,10.0,10.0,0.42500630021095276,419500
1988-04-20,10.0,10.0,10.0,10.0,0.42500630021095276,0
1988-04-21,10.0,10.0,10.0,10.0,0.42500630021095276,0
1988-04-22,10.0,10.125,10.0,10.0,0.42500630021095276,1931700
1988-04-25,10.0,10.0,10.0,10.0,0.42500630021095276,220700
1988-04-26,10.0,10.125,10.0,10.0,0.42500630021095276,287800
1988-04-27,10.0,10.125,10.0,10.0,0.42500630021095276,224900
1988-04-28,10.0,10.125,10.0,10.0,0.42500630021095276,254100
1988-04-29,10.0,10.0,9.875,10.0,0.42500630021095276,458900
1988-05-02,10.0,10.125,10.0,10.0,0.42500630021095276,908300
1988-05-03,10.0,10.125,10.0,10.0,0.42500630021095276,243800
1988-05-04,10.0,10.125,10.0,10.0,0.42500630021095276,190100
1988-05-05,10.0,10.125,10.0,10.0,0.42500630021095276,105500
1988-05-06,10.0,10.125,10.0,10.0,0.42500630021095276,101900
1988-05-09,10.0,10.125,10.0,10.0,0.42500630021095276,141800
1988-05-10,10.0,10.0,10.0,10.0,0.42500630021095276,131300
1988-05-11,10.0,10.0,10.0,10.0,0.42500630021095276,149000
1988-05-12,10.0,10.0,10.0,10.0,0.42500630021095276,120600
1988-05-13,10.0,10.0,10.0,10.0,0.42500630021095276,129400
1988-05-16,10.0,10.0,10.0,10.0,0.42500630021095276,130100
1988-05-17,10.0,10.0,10.0,10.0,0.42500630021095276,192800
1988-05-18,10.0,10.0,10.0,10.0,0.42500630021095276,229500
1988-05-19,10.0,10.0,10.0,10.0,0.42500630021095276,240600
1988-05-20,10.0,10.125,10.0,10.0,0.42500630021095276,93000
1988-05-23,10.0,10.0,10.0,10.0,0.42500630021095276,131500
1988-05-24,10.0,10.0,10.0,10.0,0.42500630021095276,88200
1988-05-25,10.0,10.125,10.0,10.0,0.42500630021095276,71800
1988-05-26,10.0,10.0,10.0,10.0,0.42500630021095276,85200
1988-05-27,10.0,10.125,10.0,10.0,0.42500630021095276,42800
1988-05-31,10.0,10.125,10.0,10.0,0.42500630021095276,133600
1988-06-01,10.0,10.0,10.0,10.0,0.42500630021095276,135900
1988-06-02,10.0,10.125,10.0,10.0,0.42500630021095276,36300
1988-06-03,10.0,10.125,10.0,10.0,0.42500630021095276,88800
1988-06-06,10.0,10.0,10.0,10.0,0.42500630021095276,43800
1988-06-07,10.0,10.0,10.0,10.0,0.42500630021095276,70200
1988-06-08,10.0,10.0,10.0,10.0,0.42500630021095276,52700
1988-06-09,9.875,10.0,9.875,9.875,0.42333418130874634,32000
1988-06-10,9.875,10.0,9.875,10.0,0.4286929666996002,27800
1988-06-13,9.875,10.0,9.875,9.875,0.42333418130874634,35300
