Date,Open,High,Low,Close,Adj Close,Volume
1984-11-16,0.0,33.75,33.25,33.75,6.168552875518799,28900
1984-11-19,0.0,33.5,33.5,33.5,6.122858047485352,2200
1984-11-20,0.0,33.5,33.0,33.5,6.122858047485352,2100
1984-11-21,0.0,33.5,33.0,33.0,6.031473636627197,106800
1984-11-23,0.0,33.0,33.0,33.0,6.031473636627197,100
1984-11-26,0.0,33.0,33.0,33.0,6.031473636627197,2200
1984-11-27,0.0,33.5,33.0,33.0,6.031473636627197,13400
1984-11-28,0.0,33.5,33.0,33.5,6.122858047485352,1300
1984-11-29,0.0,33.0,31.625,31.75,5.80300760269165,11800
1984-11-30,0.0,32.0,31.5,31.5,5.757316589355469,8900
1984-12-03,0.0,31.5,31.0,31.25,5.711624622344971,27800
1984-12-04,0.0,31.25,31.0,31.0,5.665929317474365,8900
1984-12-05,0.0,31.0,30.5,30.625,5.59739351272583,33000
1984-12-06,0.0,30.75,30.5,30.5,5.574542999267578,15300
1984-12-07,0.0,30.5,30.0,30.5,5.574542999267578,5600
1984-12-10,0.0,30.25,26.75,27.75,5.071922302246094,54800
1984-12-11,0.0,27.75,25.0,25.0,4.569299221038818,85600
1984-12-12,0.0,25.25,23.125,23.25,4.249447822570801,40300
1984-12-13,0.0,25.0,23.25,24.75,4.52360725402832,38700
1984-12-14,0.0,24.5,24.0,24.25,4.432219982147217,7600
1984-12-17,0.0,24.25,24.0,24.125,4.4093732833862305,5500
1984-12-18,0.0,24.75,24.25,24.75,4.52360725402832,45600
1984-12-19,0.0,24.75,24.0,24.0,4.386528491973877,2700
1984-12-20,0.0,24.5,24.0,24.5,4.477914810180664,2900
1984-12-21,0.0,24.5,24.5,24.5,4.477914810180664,200
1984-12-24,0.0,24.5,24.0,24.0,4.386528491973877,13800
1984-12-26,0.0,24.25,24.0,24.25,4.432219982147217,17000
1984-12-27,0.0,24.0,24.0,24.0,4.386528491973877,200
1984-12-28,0.0,24.25,24.0,24.25,4.432219982147217,3100
1984-12-31,0.0,24.25,23.875,24.25,4.432219982147217,27600
1985-01-02,0.0,24.0,24.0,24.0,4.386528491973877,100
1985-01-03,0.0,25.25,24.0,25.25,4.614994049072266,13600
1985-01-04,0.0,25.0,24.5,24.5,4.477914810180664,600
1985-01-07,0.0,25.25,24.75,25.0,4.569299221038818,15500
1985-01-08,0.0,25.0,24.75,24.75,4.52360725402832,1700
1985-01-09,0.0,24.75,24.75,24.75,4.52360725402832,100
1985-01-10,0.0,25.0,24.75,25.0,4.569299221038818,26500
1985-01-11,0.0,25.5,24.75,25.0,4.569299221038818,13600
1985-01-14,25.0,25.0,25.0,25.0,4.569299221038818,0
1985-01-15,0.0,26.0,25.5,26.0,4.75206995010376,23700
1985-01-16,0.0,26.0,25.5,25.5,4.660684108734131,17000
1985-01-17,0.0,25.625,25.0,25.0,4.569299221038818,50900
1985-01-18,0.0,25.5,25.0,25.5,4.660684108734131,400
1985-01-21,0.0,25.25,24.75,25.25,4.614994049072266,3500
1985-01-22,0.0,25.25,24.5,24.5,4.477914810180664,11300
1985-01-23,0.0,25.0,24.5,24.5,4.477914810180664,9700
1985-01-24,0.0,24.75,24.125,24.5,4.477914810180664,31900
1985-01-25,0.0,24.75,24.25,24.75,4.52360725402832,115000
1985-01-28,0.0,24.75,24.5,24.5,4.477914810180664,4700
1985-01-29,0.0,24.75,24.5,24.75,4.52360725402832,10700
1985-01-30,0.0,26.25,24.75,26.0,4.75206995010376,41600
1985-01-31,0.0,26.5,25.75,26.0,4.75206995010376,7700
1985-02-01,0.0,27.5,26.25,27.0,4.934841632843018,270100
1985-02-04,0.0,27.5,27.0,27.25,4.980534553527832,17200
1985-02-05,0.0,27.5,26.75,27.0,4.934841632843018,21000
1985-02-06,0.0,27.75,27.0,27.75,5.071922302246094,9700
1985-02-07,0.0,28.0,27.5,27.875,5.094768524169922,26500
1985-02-08,0.0,28.25,27.25,28.25,5.163308143615723,49200
1985-02-11,0.0,28.5,27.75,28.5,5.209000587463379,4600
1985-02-12,0.0,28.5,27.75,28.5,5.209000587463379,1300
1985-02-13,0.0,28.5,28.25,28.5,5.209000587463379,1400
1985-02-14,0.0,28.5,27.75,28.5,5.209000587463379,32400
1985-02-15,0.0,28.375,27.75,28.25,5.163308143615723,12000
1985-02-19,0.0,28.5,28.0,28.25,5.163308143615723,23400
1985-02-20,0.0,28.0,28.0,28.0,5.117615699768066,4600
1985-02-21,0.0,28.5,28.0,28.5,5.209000587463379,1200
1985-02-22,0.0,28.25,28.0,28.25,5.163308143615723,21000
1985-02-25,0.0,28.25,27.0,27.25,4.980534553527832,23900
1985-02-26,0.0,26.5,26.5,26.5,4.843458652496338,1200
1985-02-27,0.0,27.0,26.0,26.25,4.7977614402771,14400
1985-02-28,0.0,26.25,26.0,26.0,4.75206995010376,1100
1985-03-01,0.0,26.5,26.0,26.5,4.843458652496338,5600
1985-03-04,0.0,26.5,26.0,26.0,4.75206995010376,200
1985-03-05,0.0,26.5,25.875,26.5,4.843458652496338,91100
1985-03-06,0.0,26.0,26.0,26.0,4.75206995010376,1700
1985-03-07,0.0,26.25,26.25,26.25,4.7977614402771,400
1985-03-08,0.0,26.25,25.75,26.25,4.7977614402771,9800
1985-03-11,0.0,26.25,25.75,26.25,4.7977614402771,2400
1985-03-12,0.0,26.25,26.0,26.0,4.75206995010376,4200
1985-03-13,0.0,26.25,25.75,26.0,4.75206995010376,19500
1985-03-14,0.0,25.75,25.5,25.5,4.660684108734131,14400
1985-03-15,0.0,25.5,24.75,25.0,4.569299221038818,41400
1985-03-18,0.0,25.0,24.5,25.0,4.569299221038818,83100
1985-03-19,0.0,25.0,24.5,25.0,4.569299221038818,500
1985-03-20,0.0,25.0,24.5,24.5,4.477914810180664,5400
1985-03-21,0.0,25.25,24.5,25.25,4.614994049072266,20000
1985-03-22,0.0,25.5,25.0,25.5,4.660684108734131,5400
1985-03-25,0.0,25.0,25.0,25.0,4.569299221038818,500
1985-03-26,0.0,25.5,25.0,25.25,4.614994049072266,17600
1985-03-27,0.0,25.25,25.0,25.0,4.569299221038818,19200
1985-03-28,0.0,25.25,25.0,25.25,4.614994049072266,45000
1985-03-29,0.0,25.25,25.0,25.0,4.569299221038818,7300
1985-04-01,0.0,25.5,25.0,25.5,4.660684108734131,600
1985-04-02,0.0,25.0,25.0,25.0,4.569299221038818,400
1985-04-03,0.0,24.75,24.75,24.75,4.52360725402832,6500
1985-04-04,0.0,24.75,24.75,24.75,4.52360725402832,200
1985-04-08,0.0,24.75,24.5,24.75,4.52360725402832,1600
1985-04-09,0.0,25.0,24.75,24.75,4.52360725402832,18700
1985-04-10,0.0,24.75,24.75,24.75,4.52360725402832,1200
1985-04-11,0.0,24.75,24.75,24.75,4.52360725402832,600
1985-04-12,0.0,25.0,24.75,25.0,4.569299221038818,2500
1985-04-15,0.0,25.0,24.75,25.0,4.569299221038818,4500
1985-04-16,0.0,25.0,24.75,25.0,4.569299221038818,45700
1985-04-17,0.0,24.75,24.75,24.75,4.52360725402832,900
1985-04-18,0.0,25.25,24.75,24.75,4.52360725402832,3800
1985-04-19,0.0,24.75,24.5,24.5,4.477914810180664,23600
